InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
569901,23256,CHILDRENS CUTLERY SPACEBOY ,2,2011-10-06 16:20:00,4.15,12923.0,United Kingdom
565806,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,2011-09-07 10:51:00,1.25,15594.0,United Kingdom
568198,21407,BROWN CHECK CAT DOORSTOP ,2,2011-09-25 14:52:00,4.25,16771.0,United Kingdom
578044,23033,DRAWER KNOB CERAMIC RED,24,2011-11-22 14:41:00,1.45,13488.0,United Kingdom
563584,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2011-08-17 16:48:00,4.95,15122.0,United Kingdom
551192,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-04-27 10:54:00,12.75,16188.0,United Kingdom
555201,22333,RETROSPOT PARTY BAG + STICKER SET,8,2011-06-01 12:10:00,1.65,16969.0,United Kingdom
542719,22068,BLACK PIRATE TREASURE CHEST,2,2011-01-31 14:18:00,1.65,17619.0,United Kingdom
549646,21877,HOME SWEET HOME MUG,12,2011-04-11 11:51:00,1.25,12982.0,United Kingdom
554854,21976,PACK OF 60 MUSHROOM CAKE CASES,24,2011-05-27 09:39:00,0.55,16369.0,United Kingdom
563073,22619,SET OF 6 SOLDIER SKITTLES,4,2011-08-11 15:56:00,3.75,18235.0,United Kingdom
566518,22418,10 COLOUR SPACEBOY PEN,12,2011-09-13 11:24:00,0.85,17779.0,United Kingdom
572657,71459,HANGING JAM JAR T-LIGHT HOLDERS,12,2011-10-25 12:27:00,0.85,15615.0,United Kingdom
563096,21987,PACK OF 6 SKULL PAPER CUPS,12,2011-08-12 09:10:00,0.65,15544.0,United Kingdom
568531,21991,BOHEMIAN COLLAGE STATIONERY SET,3,2011-09-27 13:49:00,1.25,16713.0,United Kingdom
542835,85230A,OPIUM SCENTED VOTIVE CANDLE,24,2011-02-01 11:30:00,0.29,13939.0,United Kingdom
548516,20769,DAISY JOURNAL ,1,2011-03-31 16:28:00,4.96,,United Kingdom
577058,23341,PINK DINER WALL CLOCK,1,2011-11-17 14:29:00,8.5,18122.0,United Kingdom
545190,22423,REGENCY CAKESTAND 3 TIER,1,2011-02-28 15:32:00,12.75,15656.0,United Kingdom
554098,22604,SET OF 4 NAPKIN CHARMS CUTLERY,3,2011-05-22 13:01:00,2.55,14769.0,United Kingdom
573904,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2011-11-01 14:54:00,3.75,14505.0,United Kingdom
569246,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1,2011-10-03 09:57:00,4.13,14096.0,United Kingdom
536624,22725,ALARM CLOCK BAKELIKE CHOCOLATE,8,2010-12-02 10:45:00,3.75,13418.0,United Kingdom
580727,21866,UNION JACK FLAG LUGGAGE TAG,1,2011-12-05 17:17:00,2.46,14096.0,United Kingdom
572458,23437, 50'S CHRISTMAS GIFT BAG LARGE,24,2011-10-24 12:51:00,1.25,15142.0,United Kingdom
541216,22356,CHARLOTTE BAG PINK POLKADOT,3,2011-01-14 13:52:00,0.85,15311.0,United Kingdom
574738,23332,IVORY WICKER HEART LARGE,3,2011-11-06 16:01:00,1.65,12748.0,United Kingdom
579552,21733,RED HANGING HEART T-LIGHT HOLDER,32,2011-11-30 10:54:00,2.55,16210.0,United Kingdom
580030,23318,BOX OF 6 MINI VINTAGE CRACKERS,6,2011-12-01 12:14:00,2.49,12951.0,United Kingdom
567853,21918,SET 12 KIDS COLOUR  CHALK STICKS,4,2011-09-22 13:31:00,0.42,15484.0,United Kingdom
551414,22431,WATERING CAN BLUE ELEPHANT,6,2011-04-28 13:35:00,1.95,15622.0,United Kingdom
549295,22741,FUNKY DIVA PEN,1,2011-04-07 19:49:00,1.63,,United Kingdom
547786,21754,HOME BUILDING BLOCK WORD,1,2011-03-25 11:44:00,5.95,14587.0,United Kingdom
580956,22135,MINI LADLE LOVE HEART PINK,2,2011-12-06 14:23:00,0.42,17841.0,United Kingdom
540489,22241,GARLAND WOODEN HAPPY EASTER,12,2011-01-07 16:32:00,1.25,13593.0,United Kingdom
577332,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,2011-11-18 14:25:00,0.55,13013.0,United Kingdom
561900,22854,CREAM SWEETHEART EGG HOLDER,4,2011-07-31 15:31:00,4.95,16655.0,United Kingdom
574914,21620,SET OF 4 ROSE BOTANICAL CANDLES,2,2011-11-07 16:16:00,1.25,17109.0,United Kingdom
548768,22899,CHILDREN'S APRON DOLLY GIRL ,26,2011-04-04 12:34:00,2.1,17886.0,United Kingdom
556190,22470,HEART OF WICKER LARGE,6,2011-06-09 12:01:00,2.95,15780.0,United Kingdom
571183,23154,SET OF 4 JAM JAR MAGNETS,2,2011-10-14 11:08:00,2.08,14796.0,United Kingdom
574047,11001,ASSTD DESIGN RACING CAR PEN,16,2011-11-02 13:26:00,1.69,13318.0,United Kingdom
552262,22435,SET OF 9 HEART SHAPED BALLOONS,12,2011-05-08 11:37:00,1.25,14911.0,EIRE
567975,23388,WOODLAND MINI BACKPACK,4,2011-09-23 10:25:00,4.15,17416.0,United Kingdom
559122,84596L,BISCUITS SMALL BOWL LIGHT BLUE,16,2011-07-06 12:22:00,0.42,15159.0,United Kingdom
C580762,22625,RED KITCHEN SCALES,-1,2011-12-06 10:32:00,7.65,14543.0,United Kingdom
576876,85014A,BLACK/BLUE POLKADOT UMBRELLA,4,2011-11-16 16:42:00,5.95,16804.0,United Kingdom
565471,23306,SET OF 36 DOILIES PANTRY DESIGN,12,2011-09-05 10:12:00,1.45,13931.0,United Kingdom
545797,82599,FANNY'S REST STOPMETAL SIGN,3,2011-03-07 12:17:00,2.1,16225.0,United Kingdom
565994,22925,BLUE GIANT GARDEN THERMOMETER,1,2011-09-08 11:46:00,5.95,13244.0,United Kingdom
546392,22524,CHILDRENS GARDEN GLOVES BLUE,2,2011-03-11 14:15:00,1.25,14587.0,United Kingdom
544081,22698,PINK REGENCY TEACUP AND SAUCER,48,2011-02-15 15:49:00,2.55,17819.0,United Kingdom
576508,21642,ASSORTED TUTTI FRUTTI PEN,6,2011-11-15 12:02:00,0.29,17777.0,United Kingdom
570197,47574A,ENGLISH ROSE SCENTED HANGING FLOWER,2,2011-10-07 15:45:00,0.75,13755.0,United Kingdom
563940,22091,EMPIRE TISSUE BOX,36,2011-08-22 09:30:00,0.39,17416.0,United Kingdom
571682,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-10-18 14:00:00,4.25,14179.0,United Kingdom
544970,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,12,2011-02-25 11:33:00,1.45,13362.0,United Kingdom
552695,22652,TRAVEL SEWING KIT,10,2011-05-10 15:31:00,1.65,16320.0,Unspecified
540157,21899,"KEY FOB , GARAGE DESIGN",1,2011-01-05 11:41:00,0.65,15311.0,United Kingdom
545071,22882,NUMBER TILE VINTAGE FONT 3,2,2011-02-27 15:59:00,1.95,15996.0,United Kingdom
568592,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-09-28 10:42:00,2.08,17469.0,United Kingdom
573830,23496,PANTRY KITCHEN THERMOMETER ,3,2011-11-01 11:35:00,1.25,16960.0,United Kingdom
569849,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2011-10-06 13:49:00,2.1,15264.0,United Kingdom
548516,85099C,JUMBO  BAG BAROQUE BLACK WHITE,6,2011-03-31 16:28:00,4.13,,United Kingdom
555149,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,2,2011-05-31 15:49:00,10.79,,United Kingdom
565595,23047,PAPER LANTERN 5 POINT SEQUIN STAR,2,2011-09-05 14:13:00,5.75,13192.0,United Kingdom
